/ POINT BLANK
 
/ handguns

group(ID=pointblank:glock17;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=20
group(ID=pointblank:l96a1;ID=pointblank:ammo338lapua,amount=#rand(17,34))@luck=100
group(ID=pointblank:ballista;ID=pointblank:ammo338lapua,amount=#rand(17,34))@luck=100
group(ID=pointblank:gm6lynx;ID=pointblank:ammo50bmg,amount=#rand(17,34))@luck=100

/ shotguns

group(ID=pointblank:m590;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:m870;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:spas12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:m1014;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:aa12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:citoricxs;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:hs12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100

/ other

group(ID=pointblank:aughbar;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:lamg;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:mk48;ID=pointblank:ammo762x51,amount=#rand(17,34))@luck=100
group(ID=pointblank:m249;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:m32mgl;ID=pointblank:grenade40mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:smaw;ID=pointblank:smaw_rocket,amount=#rand(17,34))@luck=100
group(ID=pointblank:at4;ID=pointblank:at4_rocket,amount=#rand(17,34))@luck=100
group(ID=pointblank:javelin;ID=pointblank:javelin_rocket,amount=#rand(17,34))@luck=100
group(ID=pointblank:m134minigun;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100

/ TRAUMA

group(ID=pointblank:barm1918;ID=pointblank:30_06_springfield,amount=#rand(17,34))@luck=100
group(ID=pointblank:carcano1891;ID=pointblank:6_5_52mm_carcano,amount=#rand(17,34))@luck=100
group(ID=pointblank:federov;ID=pointblank:6_5_50mmsr_arisaka,amount=#rand(17,34))@luck=100
group(ID=pointblank:gewehr98;ID=pointblank:7_92_57mm_mauser,amount=#rand(17,34))@luck=100
group(ID=pointblank:hellriegel;ID=pointblank:9_23mm_steyr,amount=#rand(17,34))@luck=100
group(ID=pointblank:henrymartini;ID=pointblank:557_450_martini,amount=#rand(17,34))@luck=100
group(ID=pointblank:lebel;ID=pointblank:8_50mmr_lebel,amount=#rand(17,34))@luck=100
group(ID=pointblank:lee_enfield;ID=pointblank:303_british,amount=#rand(17,34))@luck=100
group(ID=pointblank:lewisgun;ID=pointblank:303_british,amount=#rand(17,34))@luck=100
group(ID=pointblank:lugerp08;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:m1903;ID=pointblank:30_06_springfield,amount=#rand(17,34))@luck=100
group(ID=pointblank:madsen;ID=pointblank:7_92_57mm_mauser,amount=#rand(17,34))@luck=100
group(ID=pointblank:mannlicherm1895;ID=pointblank:8_50mmr_mannlicher,amount=#rand(17,34))@luck=100
group(ID=pointblank:mausermodel1893;ID=pointblank:7_65_53mm_mauser,amount=#rand(17,34))@luck=100
group(ID=pointblank:mid_kar98k;ID=pointblank:7_92_57mm_mauser,amount=#rand(17,34))@luck=100
group(ID=pointblank:mid_mp40;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:mid_panzerfaust60;ID=pointblank:mid_panzerfaust60_warhead,amount=#rand(17,34))@luck=100
group(ID=pointblank:mosin1891;ID=pointblank:7_62_54mmr,amount=#rand(17,34))@luck=100
group(ID=pointblank:mosin189130;ID=pointblank:7_62_54mmr,amount=#rand(17,34))@luck=100
group(ID=pointblank:mosinskeletonobrez;ID=pointblank:7_92_57mm_mauser,amount=#rand(17,34))@luck=100
group(ID=pointblank:mp18;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:ppsh41early;ID=pointblank:7_62_25mm_tokarev,amount=#rand(17,34))@luck=100
group(ID=pointblank:ribeyrolles;ID=pointblank:8_35mm_ribeyrolles,amount=#rand(17,34))@luck=100
group(ID=pointblank:rsc;ID=pointblank:8_50mmr_lebel,amount=#rand(17,34))@luck=100
group(ID=pointblank:tankgewehr;ID=pointblank:13_2mm_tuf,amount=#rand(17,34))@luck=100
group(ID=pointblank:type38;ID=pointblank:6_5_50mmsr_arisaka,amount=#rand(17,34))@luck=100
group(ID=pointblank:vetterlivitalim187087;ID=pointblank:10_4_47mmr,amount=#rand(17,34))@luck=100
group(ID=pointblank:werdl;ID=pointblank:11_58mmr,amount=#rand(17,34))@luck=100
group(ID=pointblank:winchestermodel1907;ID=pointblank:351_winchester,amount=#rand(17,34))@luck=100

/ RED DEAD

group(ID=pointblank:bolt_action;ID=pointblank:rifle_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:carabine;ID=pointblank:repeater_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:carcano;ID=pointblank:rifle_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:cattleman;ID=pointblank:revolver_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:double_barrel;ID=pointblank:shotgun_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:double_action;ID=pointblank:revolver_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:evans;ID=pointblank:repeater_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:lancaster;ID=pointblank:repeater_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:lemat;ID=pointblank:revolver_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:litchfield;ID=pointblank:repeater_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:m1899;ID=pointblank:pistol_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:mauser;ID=pointblank:pistol_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:pump_action_shotgun;ID=pointblank:shotgun_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:repeating_shotgun;ID=pointblank:shotgun_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:rollingblock;ID=pointblank:rifle_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:sawed_off;ID=pointblank:shotgun_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:schofield;ID=pointblank:revolver_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:semi_auto_shotgun;ID=pointblank:shotgun_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:springfield;ID=pointblank:rifle_ammo,amount=#rand(17,34))@luck=100
group(ID=pointblank:volcanic;ID=pointblank:pistol_ammo,amount=#rand(17,34))@luck=100

/ MODERN CONFLICT REARMED

group(ID=pointblank:a1_1911;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_2011;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_aps;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_de;ID=pointblank:ammo50ae,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_fnfs;ID=pointblank:ammo57,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_g17;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_g18;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_g19;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_hkusp45;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_hkusp9;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_k100;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_mp443;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_p220;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_p226;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_p250;ID=pointblank:ammo40sw,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_p320;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_rugermk22;ID=pointblank:kcal_ammo22lr,amount=#rand(17,34))@luck=100
group(ID=pointblank:a1_tti;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_apc40;ID=pointblank:kcal_ammo40smw,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_apc45;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_apc9;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_ar57new;ID=pointblank:ammo57,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_famsaf;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_hkmp5;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_hkmp5auto10;ID=pointblank:kcal_ammo10mmauto,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_hkmp5k;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_pp19b;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_pp19v;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_stribogap9;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_ump40;ID=pointblank:kcal_ammo40smw,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_ump45new;ID=pointblank:ammo45acp,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_ump9;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a2_zmflg;ID=pointblank:ammo9mm,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_ar12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_m1014;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_r870;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_saiga12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_spas12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_supernova;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a3_vepr12;ID=pointblank:ammo12gauge,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_aek971;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_aek972;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_aek973;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak101;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak102;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak103;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak104;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak105;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak107;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak108;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak109;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak12new;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak15;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak19;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak22;ID=pointblank:kcal_ammo602,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak47new;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak74m;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ak74new;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_akm;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_aks74u;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_ap67;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_apc300;ID=pointblank:kcal_ammo300b,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_apc556;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_asval;ID=pointblank:kcal_ammo939,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_beryl;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_bren2;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_bren2r;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_dissentmk4;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_fbtantal;ID=pointblank:ammo545,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_fnscarl;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_fnscarr;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_fx_05;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_g36cnew;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hk32;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hk33;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hk416;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hk52;ID=pointblank:ammo762,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hk53;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_hkg11;ID=pointblank:kcal_ammo47333,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_m16a1new;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_m16a4;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_m4new;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
group(ID=pointblank:a4_sg550;ID=pointblank:ammo556,amount=#rand(17,34))@luck=100
